id|title|product|daysActive|hasTour|pdpUrl|tenureType|highlights|agencies|area|propertyTypes|carSpaces|state|streetAddress|postcode|suburb|suburbAddress|price|searchCategory
504132567|The Remastered Modern Workplace|eliteplus|175|False|/for-lease/property-ground-floor-and-level-1-150-jolimont-road-east-melbourne-vic-3002-504132567|vacant|Brand new end of trip@@@Abundance of off street parking@@@Refurbished office building|JLL - Melbourne Metropolitan @@@Teska Carson Pty Ltd - Richmond|282 - 334 m²|Offices|45|VIC|Ground Floor and Level 1, 150 Jolimont Road|3002|East Melbourne|East Melbourne, VIC 3002|Please contact one of our agents|for-lease
504217688|Bowden's Finest Mixed-Use Office/Hospitality Development |eliteplus|57|False|/for-lease/property-lot-6003-second-street-bowden-sa-5007-504217688|any||City Realty - Adelaide|926 m²|Land/Development@@@Offices@@@Retail||SA|Lot 6003 Second Street|5007|Bowden|Bowden, SA 5007|Contact Agent for Pricing Information|for-lease
504197011|Leasing opportunity in the heart of Murrumbateman|eliteplus|85|False|/for-lease/property-village-shops-6-hercules-street-murrumbateman-nsw-2582-504197011|any|Murrumbateman retail street@@@Completion Q3 2023@@@85sqm shop|Sentia Real Estate - GRIFFITH|85 m²|Retail@@@Offices@@@Medical/Consulting||NSW|Village Shops, 6 Hercules Street|2582|Murrumbateman|Murrumbateman, NSW 2582|$39,950 (ex GST) pa|for-lease
504208696|"ULTRA RARE OPPORTUNITY TO BUY OR LEASE


"|eliteplus|69|False|/for-sale/property-southport-qld-4215-504208696?listingType=rent|vacant|Option to BUY or LEASE@@@Only opportunity to buy in precinct@@@280 Onsite Car Parking Spaces|Niecon - BROADBEACH|80 m²|Medical/Consulting@@@Offices|280|QLD|Address available on request|4215|Southport|Southport, QLD 4215|$38,000 P.A.  $525 - $550 per m² P.A. excluding GST|for-lease
503859886|MEET YOU AT THE BASE|eliteplus|580|False|/for-lease/property-the-base-650-hume-highway-craigieburn-vic-3064-503859886|any|EXPOSURE TO HUME HIGHWAY AND FREEWAY@@@MASSIVELY EXPANDING CATCHMENT@@@POSITION NEXT DOOR TO BUNNINGS|Leedwell Property Victoria - Melbourne|850 - 6000 m²|Retail@@@Showrooms/Bulky Goods@@@Medical/Consulting||VIC|The Base, 650 Hume Highway|3064|Craigieburn|Craigieburn, VIC 3064|Contact Agent|for-lease
503733318|Two Brand New Fitted Tenancies (290m2 & 510m2) with Stunning Views to The Shrine|eliteplus|747|False|/for-lease/property-the-gateway-5-312-st-kilda-rd-melbourne-vic-3004-503733318|any||Cushman & Wakefield - Melbourne@@@Thorburn Commercial Property - Melbourne|290 - 510 m²|Offices||VIC|The Gateway, 5/312 St Kilda Rd|3004|Melbourne|Melbourne, VIC 3004|Contact Agent|for-lease
504229368|Central Location Warehouse / Office in a Boutique Industrial Complex|eliteplus|37|False|/for-lease/property-1-5-13-parsons-street-rozelle-nsw-2039-504229368|any|Dual-entrance, warehouse, and office@@@Roller door access 6.1M@@@3 Off Street Car Spaces|Ray White Commercial - Sydney City Fringe|198 m²|Industrial/Warehouse@@@Showrooms/Bulky Goods@@@Offices|3|NSW|1/5-13 Parsons Street|2039|Rozelle|Rozelle, NSW 2039|For Lease Contact Agent|for-lease
503979558|The NEW Pinnacle in A-Grade Commercial Space|eliteplus|381|False|/for-lease/property-50-first-avenue-maroochydore-qld-4558-503979558|vacant|Large Expansive 1,000m2 + Floor plates@@@Premium A-Grade design & 5 Star NABERS*@@@Superior EOT Facilities & Amenity|Colliers - Sunshine Coast@@@CBRE - Brisbane@@@CBRE - Sunshine Coast|100 - 4000 m²|Offices@@@Retail||QLD|50 First Avenue|4558|Maroochydore|Maroochydore, QLD 4558|Contact Agent|for-lease
504221712|Boutique - Central Fremantle Premises|eliteplus|51|False|/for-lease/property-52-adelaide-street-fremantle-wa-6160-504221712|vacant|Brand New Central Fremantle Development@@@Multiple Uses, STCA|Norfolk Commercial - SUBIACO|54 m²|Retail@@@Offices@@@Medical/Consulting||WA|52 Adelaide Street|6160|Fremantle|Fremantle, WA 6160|Contact Agent|for-lease
504056027|300 Macquarie Street, Liverpool; gateway site at the heart of Liverpool CBD|eliteplus|282|False|/for-lease/property-300-macquarie-street-liverpool-nsw-2170-504056027|vacant|Gateway location adjacent to Civic Place@@@Full fit-out; plug and play opportunity@@@Excellent parking and amenity on site|Resonate Partners - Sydney @@@Elders Commercial - Liverpool|124 - 1500 m²|Offices|72|NSW|300 Macquarie Street|2170|Liverpool|Liverpool, NSW 2170|Contact Agent|for-lease
503866046|ABBOTSFORD Office Suites  68m2 from $578k+ GST|eliteplus|571|False|/for-sale/property-the-office-project-19-thompson-st-abbotsford-vic-3067-503866046|vacant|Walking distance to public transport@@@Upscale to Coworking, Onsite Retail@@@Activated rooftops! Ample parking! Views|Eisen Property@@@Banco Group|68 - 900 m²|Offices|144|VIC|The Office Project, 19 Thompson St|3067|Abbotsford|Abbotsford, VIC 3067|Contact Agent|for-sale
504208696|"ULTRA RARE OPPORTUNITY TO BUY OR LEASE


"|eliteplus|69|False|/for-sale/property-southport-qld-4215-504208696|vacant|Option to BUY or LEASE@@@Only opportunity to buy in precinct@@@280 Onsite Car Parking Spaces|Niecon - BROADBEACH|80 m²|Medical/Consulting@@@Offices|280|QLD|Address available on request|4215|Southport|Southport, QLD 4215|$740,000 excluding GST|for-sale
504199704|Level 10 Office Floor in Adelaide’s Largest Square|eliteplus|82|False|/for-sale/property-level-10-185-victoria-square-adelaide-sa-5000-504199704|tenanted|https://youtu.be/I4yjmxynyrM|Mastracorp Real Estate - Adelaide|490 m²|Offices@@@Retail@@@Other|1|SA|Level 10, 185 Victoria Square|5000|Adelaide|Adelaide, SA 5000|SOLD AT AUCTION|for-sale
504241556|WINDSOR FREEHOLD LEASED TO CHAPEL ST F&B INSTITUTION|eliteplus|2|False|/for-sale/property-135-chapel-street-windsor-vic-3181-504241556|tenanted|ABSOLUTE PRIME TRADING POSITION@@@LEASED TO PATEE THAI TRADING SINCE 1983@@@FIRST TIME OFFERED IN MORE THAN 40 YEARS|Emmetts - Melbourne|312 m²|Retail@@@Hotel/Leisure||VIC|135 CHAPEL STREET|3181|Windsor|Windsor, VIC 3181|Contact Agent|for-sale
